"","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI"
"2019-06-14",-20.4996683095528,37.0125986708766,-0.194701505156352,7.50051328849156,-3.21215125023672,-17.2761428282574,-3.33044806616493,-22.2854571544721,62.4869591757083,-3.50166349609241,2.72930207144719,-2.21524453104274,-30.1605919356104,-7.05330412993785,-4.82285365669452,68.3321580927004,-4.86622730019187,3.05378124257559,-26.8322954542461,-18.3383783027353,-16.5261846214082
"2019-06-21",-13.1284597473129,40.6363249787285,-2.91431582597998,-1.89505176984883,-5.4386542535,-11.7292459950514,-5.53059738703542,-19.7775102859082,62.5050505064392,-6.36939860526015,2.0226438938748,-0.403477711519622,-30.135743824107,-7.84156397351899,-3.37837411361947,29.231552890406,-5.78899940697584,15.9636812456264,-9.49434489952626,-11.6013503859139,-14.932165329997
"2019-06-28",-12.895182856113,34.1642070312119,-3.17763156530947,-3.02362172064249,-0.173964055806231,-9.89314730690037,-5.00065952644037,-18.2609012736034,54.7932923577785,-5.41011593544721,3.67904868552177,-0.668212171340507,-26.8468395595632,-7.28627210334603,-1.07892891061555,28.7491788171359,-5.50812107464645,3.06873936105974,-4.24405387501113,-6.9610199427568,-14.0257943751657
"2019-07-05",-12.6171607975461,34.1953514180839,-3.1161872669602,-3.77891090564416,-0.0283848119288059,-9.80211750922741,-4.85259012677716,-16.9248883223977,53.7100310419985,-5.89392110167954,5.47314390989391,-1.56946663881157,-27.4675752478492,-7.32732364115438,-0.84042598012403,30.272764503566,-5.60323988561858,3.09576817302014,-5.02978369769836,-6.85224821550652,-15.0428348976386
"2019-07-12",-12.4985723470359,35.4121412251789,-3.00368744912196,-5.39290191273919,0.00529326399213925,-9.51782182165918,-5.00445095861475,-17.6703264606307,57.3562151771755,-5.68576978871313,3.09065074168103,-1.78681265158648,-28.0259738628124,-7.27798315511386,-1.35241051295955,30.5592244442593,-5.77486076289179,5.70958849210113,-5.45071308982494,-8.00965235668443,-15.6811762139997
"2019-07-19",-12.6294461693069,36.7355956490394,-2.92624234360638,-7.84426340926526,0.554080420458696,-9.00943400151359,-4.88029014580593,-16.5048386145646,57.4036856515201,-5.04521212846264,2.12354903405259,-2.50808521706732,-28.0114100946263,-7.45768863085188,0.835744722513754,31.0285539146982,-5.61684097901313,-6.08638206249233,0.546434543745619,-5.39816150319239,-15.3093486362597
"2019-07-26",-12.6854693065518,35.3219867631171,-2.51000643596079,-6.97042115243516,0.444204013698963,-8.62682550680847,-4.97346837505987,-17.1841437151159,51.3876858565643,-5.45943784542651,3.29392826561285,-1.28371245000078,-23.6758659818954,-7.07845412973857,1.39073959732421,31.8745581019929,-5.9307614376264,-5.94364999565641,-0.0324196171937956,-5.03962084464013,-16.3188458042004
"2019-08-02",-12.5413574700516,36.7762037840805,-2.45777530672553,-7.13907671447569,0.594153001938222,-8.65434113122532,-6.57780616354053,-16.2543135861901,52.796086984432,-4.81754802788123,2.06817502278046,-2.48331940027647,-23.4125636234793,-7.89651736938533,0.817213572320748,28.3392488815478,-5.95308974963962,-5.73196428694057,-2.44141606371491,-6.65183469301516,-8.37815766055825
"2019-08-09",-11.9771034422011,36.0343510059171,-3.25408549479303,-6.05834287832624,0.633786484137651,-8.32687754094954,-7.05172813378489,-16.1591072158275,51.8393594796787,-5.16403424055637,1.93996181893804,-2.91755580832993,-22.6476032482409,-6.89102078566206,1.5013965313945,21.5789821656702,-7.47024301370089,0.0642348436116436,0.362835386269492,-10.1927436554682,-5.84446225777677
"2019-08-16",-8.36450455007971,29.4977246648683,-0.297130282463517,-4.29696528799496,1.09273139409853,-8.29152673732234,-9.34032920110634,-13.1213122850414,44.8221229698744,-4.04352878468224,1.70764255442601,-0.792363430255927,-20.0229981639523,-8.54956286036854,-0.785961414225774,22.4782661548978,-11.2494021825336,-2.34707442636734,4.84741818235885,-10.3833050697208,-2.55994124440918
